hotel_name,price_euros,rating,neighborhood
Hostal Charlotte-Gran Vía,1.5,7.9,"Centro de Madrid, Madrid"
Hotel Avenida Gran Vía,1.306,8.1,"Centro de Madrid, Madrid"
Habitaciones Privadas en mi acogedora Casa - Private rooms,1.006,9.4,"San Blas, Madrid"
UMusic Hotel Madrid,2.553,8.8,"Centro de Madrid, Madrid"
Petit Palace Triball,1.629,8.7,"Centro de Madrid, Madrid"
Modern comfy-1bedroom 1bathroom-Prosperidad,620.0,7.2,"Chamartín, Madrid"
Hostal Bruña Paseo del Prado,1.306,8.4,"Centro de Madrid, Madrid"
Porcel Torre Garden,695.0,8.5,"Ciudad Lineal, Madrid"
Valdevebas Chalet con Piscina,6.64,9.4,"Hortaleza, Madrid"
1 bedroom 1 bathroom furnished - Recoletos - modern functional - MintyStay,716.0,7.7,"Salamanca, Madrid"
Mayerling Hotel,1.59,8.3,"Centro de Madrid, Madrid"
Residencia Universitaria Claudio Coello,881.0,8.5,"Salamanca, Madrid"
Modular Suites Alfonso Gómez,711.0,8.0,"San Blas, Madrid"
Room Pinar - Apartamento con todas las comodidades,766.0,8.9,"Hortaleza, Madrid"
Wonderful Apartment Chueca,1.417,7.9,"Centro de Madrid, Madrid"
Catalonia Atocha,1.3,8.8,"Centro de Madrid, Madrid"
Hostal Artistic B&B,981.0,9.1,"Centro de Madrid, Madrid"
Gran Hotel Inglés - The Leading Hotels of the World,4.471,9.3,"Centro de Madrid, Madrid"
Prado Rooms 46 - Darya Living,1.323,7.9,"Centro de Madrid, Madrid"
Vincci Soma,2.01,8.2,"Salamanca, Madrid"
Apartment Fomento,2.098,9.3,"Centro de Madrid, Madrid"
SmartRental Collection Gran Vía Capital,4.228,8.9,"Centro de Madrid, Madrid"
Petit Palace Plaza del Carmen,1.337,8.5,"Centro de Madrid, Madrid"
Romantic Central Terrace,2.423,7.3,"Centro de Madrid, Madrid"
Ever House - El CORAZON de CHUECA,8.736,9.4,"Centro de Madrid, Madrid"
Oriente Palace Apartments,1.822,9.0,"Centro de Madrid, Madrid"
NH Madrid Ventas,1.067,8.6,"Salamanca, Madrid"
Hotel Puerta de Toledo,828.0,8.8,"Arganzuela, Madrid"
Eurostars Monte Real,844.0,8.7,"Fuencarral - El Pardo, Madrid"
H-A San Mateo Suites,883.0,7.7,"Centro de Madrid, Madrid"
Apartamentos Turisticos G3 Galeon,843.0,8.0,"Tetuán, Madrid"
AngelitoMAD,952.0,7.2,"Moncloa - Aravaca, Madrid"
MH Apartments Central Madrid,2.243,8.9,"Centro de Madrid, Madrid"
H10 Puerta de Alcalá,2.041,8.6,"Salamanca, Madrid"
LOFTS Puerta del SOL,1.365,8.2,"Centro de Madrid, Madrid"
AC Hotel Carlton Madrid by Marriott,1.698,8.8,"Arganzuela, Madrid"
Canillas - Mintystay Apartments,829.0,8.4,"Chamartín, Madrid"
CajaSoul by Caja Mágica Madrid,1.088,9.4,"Usera, Madrid"
