hotel_name,price_euros,rating,neighborhood
Preciados,1.63,8.9,"Centro de Madrid, Madrid"
Hostal Castilla II Puerta del Sol,1.062,8.2,"Centro de Madrid, Madrid"
Moncloa Apartment,1.162,8.9,"Moncloa - Aravaca, Madrid"
Abalú Design Boutique Hotel Gran Via,1.04,7.8,"Centro de Madrid, Madrid"
Home Art Apartments Bernabéu,1.137,9.3,"Tetuán, Madrid"
AC Hotel Los Vascos by Marriott,1.024,8.7,"Moncloa - Aravaca, Madrid"
Grupotel Mayorazgo,1.403,8.8,"Centro de Madrid, Madrid"
WindRose 8,554.0,8.5,"Latina, Madrid"
Hotel Maydrit Airport,917.0,9.0,"Barajas, Madrid"
Hospedium Hotel Los Condes,1.228,8.5,"Centro de Madrid, Madrid"
Dobo Homes - EG13,681.0,8.7,"Puente de Vallecas, Madrid"
FR68 Piso 2 dormitorios Chamberi,630.0,5.5,"Chamberí, Madrid"
Axel Hotel Madrid - Adults Only,1.263,8.3,"Centro de Madrid, Madrid"
Hotel Puerta de Toledo,864.0,8.8,"Arganzuela, Madrid"
Estudio RetiroIbiza I,861.0,7.7,"Retiro, Madrid"
Vincci Vía - 66,1.935,8.7,"Centro de Madrid, Madrid"
ARTIEM Madrid,1.007,9.4,"Ciudad Lineal, Madrid"
T-Homes - Cuenca,838.0,9.1,"Tetuán, Madrid"
Leonardo Hotel Madrid City Center,1.117,8.4,"Chamberí, Madrid"
Coqueto ático en Tetuán para 2 personas 3 1,680.0,10.0,"Tetuán, Madrid"
Encantador apartamento reformado en Tetuán by beBalmy,626.0,8.7,"Tetuán, Madrid"
Hostal Fernández Atocha,746.0,7.9,"Centro de Madrid, Madrid"
Petit Palace Savoy Alfonso XII,1.722,8.4,"Retiro, Madrid"
"CAMILA, en CHUECA",790.0,7.0,"Centro de Madrid, Madrid"
Exe Suites 33,1.088,8.7,"Centro de Madrid, Madrid"
Oriente Palace Apartments,1.796,9.0,"Centro de Madrid, Madrid"
Pierre & Vacances Apartamentos Edificio Eurobuilding 2,941.0,8.6,"Tetuán, Madrid"
CUATRO CAMINOS,693.0,8.6,"Tetuán, Madrid"
Luze Castellana,992.0,8.4,"Tetuán, Madrid"
Axor Feria,905.0,8.4,"San Blas, Madrid"
WindRose 0,576.0,8.8,"Latina, Madrid"
Petit Palace Cliper-Gran Vía,1.593,8.2,"Centro de Madrid, Madrid"
CasaGoa,420.0,8.4,"Carabanchel, Madrid"
Petit Palace Plaza España,1.451,8.0,"Centro de Madrid, Madrid"
CH Rayuela,1.102,8.0,"Centro de Madrid, Madrid"
Soho Boutique Congreso,1.378,8.6,"Centro de Madrid, Madrid"
Ola Living Hostal Tetuan,749.0,8.3,"Moncloa - Aravaca, Madrid"
Petit Palace Plaza Mayor,1.613,8.3,"Centro de Madrid, Madrid"
Gran Via 63 Rooms,1.033,7.1,"Centro de Madrid, Madrid"
The Westin Madrid Cuzco,1.807,8.8,"Tetuán, Madrid"
Ikonik Gran Vía,1.288,8.8,"Centro de Madrid, Madrid"
CC Opera Suites,885.0,8.5,"Centro de Madrid, Madrid"
NH Paseo de la Habana,1.072,8.1,"Chamartín, Madrid"
Luz Madrid Rooms,876.0,8.2,"Centro de Madrid, Madrid"
Quatro Puerta del Sol,1.251,8.5,"Centro de Madrid, Madrid"
MH Apartments Central Madrid,1.803,8.9,"Centro de Madrid, Madrid"
Bloom Inn Madrid,1.236,8.3,"Centro de Madrid, Madrid"
NH Madrid Ventas,995.0,8.6,"Salamanca, Madrid"
Smartrental Collection Gran Vía Centric,1.708,8.9,"Centro de Madrid, Madrid"
Axor Barajas,1.011,8.7,"San Blas, Madrid"
Vincci The Mint,2.009,9.1,"Centro de Madrid, Madrid"
Bob W Chueca,887.0,8.8,"Centro de Madrid, Madrid"
Hotel Best Osuna,694.0,7.7,"Hortaleza, Madrid"
NH Madrid Zurbano,1.369,8.4,"Chamberí, Madrid"
CH CRUZ MADRiD,1.006,7.9,"Centro de Madrid, Madrid"
JC Rooms Santo Domingo,1.09,7.9,"Centro de Madrid, Madrid"
Ayala 63 - THE ARC COLLECTION,2.841,9.3,"Salamanca, Madrid"
Melia Madrid Serrano,1.824,8.7,"Salamanca, Madrid"
Modern and cozy-1Bedroom 1Bathroom-Azca,836.0,7.4,"Tetuán, Madrid"
Oshun Plaza Castilla,580.0,7.5,"Tetuán, Madrid"
Petit Palace Plaza del Carmen,1.499,8.5,"Centro de Madrid, Madrid"
Hotel Regina,2.027,9.3,"Centro de Madrid, Madrid"
TravelStep General Ricardos,557.0,7.6,"Carabanchel, Madrid"
NH Madrid Ribera del Manzanares,1.121,8.6,"Arganzuela, Madrid"
Leonardo Boutique Hotel Madrid,1.135,8.3,"Chamberí, Madrid"
SmartRental Collection Gran Vía Capital,1.927,8.9,"Centro de Madrid, Madrid"
Violeta Suite,828.0,8.9,"Latina, Madrid"
UMusic Hotel Madrid,1.922,8.8,"Centro de Madrid, Madrid"
Relais & Châteaux Hotel Orfila,4.193,9.3,"Chamberí, Madrid"
Hostal La Rúa-Montera,1.063,8.8,"Centro de Madrid, Madrid"
Beautiful duplex in the center,812.0,,"Centro de Madrid, Madrid"
Central Cozy -1Bedroom 1Bath -Anton Martin,836.0,8.5,"Centro de Madrid, Madrid"
