hotel_name,price_euros,rating,neighborhood
Eurostars Plaza Mayor,1269.0,8.6,"Madrid City Center, Madrid"
Vincci The Mint,2009.0,9.1,"Madrid City Center, Madrid"
Minty Stay - Hortaleza Studio,851.0,7.9,"Madrid City Center, Madrid"
Canillas - Mintystay Apartments,968.0,8.4,"Chamartín, Madrid"
Home Art Apartments Bernabéu,1148.0,9.3,"Tetuan, Madrid"
H10 Tribeca,1035.0,8.7,"Tetuan, Madrid"
Exe Convention Plaza Madrid,975.0,8.1,"Fuencarral-El Pardo, Madrid"
Soho Boutique Congreso,1378.0,8.6,"Madrid City Center, Madrid"
Petit Palace President Castellana,1281.0,7.5,"Salamanca, Madrid"
Dobo Homes - VN17,625.0,8.0,"Ciudad Lineal, Madrid"
Melia Madrid Serrano,1824.0,8.7,"Salamanca, Madrid"
Silken Puerta Madrid,804.0,8.5,"San Blas, Madrid"
Akeah Hotel Gran Vía,1390.0,8.7,"Madrid City Center, Madrid"
Hotel du Temps Madrid,1468.0,8.8,"Madrid City Center, Madrid"
Apartamento Principe de Vergara,987.0,8.3,"Chamartín, Madrid"
Casa Cobo Exclusivo Alojamiento en Madrid,808.0,7.9,"Latina, Madrid"
Platonic Love (4),952.0,8.1,"Madrid City Center, Madrid"
Leonardo Boutique Hotel Madrid,1217.0,8.3,"Chamberi, Madrid"
JC Rooms Santo Domingo,1090.0,7.9,"Madrid City Center, Madrid"
Minty Stay - Valverde,1005.0,6.9,"Madrid City Center, Madrid"
Homelike Lavapies 2 bedroom,940.0,7.1,"Madrid City Center, Madrid"
Hospedium Hotel Los Condes,1291.0,8.5,"Madrid City Center, Madrid"
Far Home Bernabeu,734.0,8.5,"Tetuan, Madrid"
Hotel Julia,808.0,8.4,"San Blas, Madrid"
Charming Sol Studios,890.0,8.2,"Madrid City Center, Madrid"
Cozy apartment in Begoña neighborhood - Mugica,680.0,9.8,"Fuencarral-El Pardo, Madrid"
Apartamento antonio lopez a,870.0,8.8,"Usera, Madrid"
Acacias Apartments - City Centre,965.0,8.4,"Arganzuela, Madrid"
AngelitoMAD,952.0,7.2,"Moncloa-Aravaca, Madrid"
Oriente Suites,1140.0,8.8,"Madrid City Center, Madrid"
Luxury Apartment in Madrid,1317.0,9.6,"Ciudad Lineal, Madrid"
Bohemian 2bedroom attic in Lavapies,828.0,7.8,"Madrid City Center, Madrid"
VR20 Estudio Chamberi Alonso Cano,490.0,4.9,"Chamberi, Madrid"
Salomé,1060.0,8.9,"Madrid City Center, Madrid"
Apartamento con terraza y vistas AlcaláRetiro,1123.0,8.1,"Salamanca, Madrid"
Francisco I Boutique,1840.0,9.0,"Madrid City Center, Madrid"
Pestana Plaza Mayor Madrid,1819.0,9.0,"Madrid City Center, Madrid"
Minty Stay - Hortaleza,829.0,7.4,"Madrid City Center, Madrid"
