hotel_name,price_euros,rating,neighborhood
Francisco I Boutique,1613.0,9.0,"Madrid City Center, Madrid"
Petit Palace Triball,1629.0,8.7,"Madrid City Center, Madrid"
Residencia Universitaria Claudio Coello,881.0,8.5,"Salamanca, Madrid"
Lofts Reformados en el Bernabéu,834.0,7.3,"Tetuan, Madrid"
Catalonia Plaza Mayor,1400.0,9.0,"Madrid City Center, Madrid"
Espahotel Plaza de España,1389.0,7.8,"Madrid City Center, Madrid"
Roisa Hostal Boutique,873.0,8.0,"Chamartín, Madrid"
Apartamento lujoso cercano al centro de Madrid,839.0,9.4,"Puente de Vallecas, Madrid"
Hostal Artistic B&B,981.0,9.1,"Madrid City Center, Madrid"
Hostal Overnight Madrid,775.0,8.1,"Moncloa-Aravaca, Madrid"
Calle Huertas Acogedor by RegalateMadrid,959.0,8.7,"Madrid City Center, Madrid"
MintyStay - Divino Pastor,924.0,7.3,"Madrid City Center, Madrid"
Hostal Esmeralda,1083.0,8.2,"Madrid City Center, Madrid"
MH Apartments Soho Madrid,1793.0,8.9,"Salamanca, Madrid"
Petit Palace Plaza del Carmen,1341.0,8.5,"Madrid City Center, Madrid"
Hostal Manuela by Gaiarooms,892.0,7.6,"Madrid City Center, Madrid"
2 bedrooms 1 bathroom furnished - Lavapies - bright Modern - MintyStay,1166.0,9.2,"Madrid City Center, Madrid"
Live it Madrid Gran Vía,442.0,6.9,"Madrid City Center, Madrid"
Hostal New Dream Madrid,616.0,7.9,"Madrid City Center, Madrid"
Wonderful Apartment Chueca,1424.0,7.9,"Madrid City Center, Madrid"
Petit Palace Alcalá,2032.0,8.3,"Madrid City Center, Madrid"
Room Pinar - Apartamento con todas las comodidades,766.0,8.9,"Hortaleza, Madrid"
Modern comfy-1bedroom 1bathroom-Prosperidad,618.0,7.2,"Chamartín, Madrid"
GARDEN HOUSE Madrid,873.0,9.6,"Moratalaz, Madrid"
1 bedroom 1 bathroom furnished - Salamanca - brigth - MintyStay,1065.0,10.0,"Salamanca, Madrid"
SUITES YOU Zinc,817.0,7.8,"Madrid City Center, Madrid"
Palacio Plaza Conde Miranda,1691.0,9.5,"Madrid City Center, Madrid"
Hostal Flat55Madrid,924.0,8.0,"Madrid City Center, Madrid"
Sercotel Alcalá 611,1052.0,8.5,"San Blas, Madrid"
APARTAMENTOS ALCALA,997.0,8.7,"Ciudad Lineal, Madrid"
Apartamentos Turisticos G3 Galeon,843.0,8.0,"Tetuan, Madrid"
CH Bueno,999.0,9.2,"Madrid City Center, Madrid"
ICON Wipton,3101.0,8.9,"Salamanca, Madrid"
Petit Palace Savoy Alfonso XII,1968.0,8.4,"Retiro, Madrid"
Exe Convention Plaza Madrid,715.0,8.1,"Fuencarral-El Pardo, Madrid"
AbraCadabra Suites,509.0,7.3,"Madrid City Center, Madrid"
The Social Hub Madrid,1097.0,8.8,"Moncloa-Aravaca, Madrid"
Aspasios Calle Mayor Apartments,1314.0,9.0,"Madrid City Center, Madrid"
Refurnished One-bedroom Las Letras,1205.0,8.7,"Madrid City Center, Madrid"
Hostal Inn Madrid,1171.0,8.4,"Madrid City Center, Madrid"
Ayala 63 - THE ARC COLLECTION,3168.0,9.3,"Salamanca, Madrid"
Hotel Chamartin The One,901.0,8.2,"Chamartín, Madrid"
Hotel Avenida Gran Vía,1306.0,8.1,"Madrid City Center, Madrid"
Vincci Soma,2010.0,8.2,"Salamanca, Madrid"
1881 Madrid Ventas Hotel,1329.0,8.9,"Ciudad Lineal, Madrid"
Hotel du Temps Madrid,1596.0,8.8,"Madrid City Center, Madrid"
Palacio Tirso de Molina - THE ARC COLLECTION,3046.0,9.2,"Madrid City Center, Madrid"
JC Rooms Santa Ana,843.0,8.0,"Madrid City Center, Madrid"
Sercotel Madrid Aeropuerto,1040.0,8.5,"Barajas, Madrid"
Hostal Bruña Paseo del Prado,1306.0,8.4,"Madrid City Center, Madrid"
SLEEP'N Atocha - B Corp Certified,1528.0,8.9,"Madrid City Center, Madrid"
Hostal Juliette-Gran Vía,1428.0,8.0,"Madrid City Center, Madrid"
LaNave,1532.0,7.8,"Moncloa-Aravaca, Madrid"
Akeah Hotel Gran Vía,1751.0,8.7,"Madrid City Center, Madrid"
Hostal Castilla I Atocha,1050.0,7.8,"Madrid City Center, Madrid"
Hostal Lauria,1043.0,9.2,"Madrid City Center, Madrid"
BYPILLOW Crosstown,1230.0,8.7,"Madrid City Center, Madrid"
Hostal Charlotte-Gran Vía,1500.0,7.9,"Madrid City Center, Madrid"
Hotel Regina,2550.0,9.3,"Madrid City Center, Madrid"
Hospedium Hotel Los Condes,1258.0,8.5,"Madrid City Center, Madrid"
Novotel Campo De Las Naciones,1171.0,8.5,"Barajas, Madrid"
H10 Puerta de Alcalá,2041.0,8.6,"Salamanca, Madrid"
Porcel Ganivet,913.0,8.8,"Madrid City Center, Madrid"
Catalonia El Retiro,1100.0,8.9,"Retiro, Madrid"
2 bedrooms 1 bathroom furnished - Delicias - bright - MintyStay,979.0,8.1,"Arganzuela, Madrid"
Mayerling Hotel,1590.0,8.3,"Madrid City Center, Madrid"
NYX Hotel Madrid by Leonardo Hotels,1280.0,8.4,"Tetuan, Madrid"
Downtown and Cozy - 1 Bedroom 1 Bathroom - Chueca,930.0,8.8,"Madrid City Center, Madrid"
Cozy studio with pool-Salamanca,855.0,6.2,"Salamanca, Madrid"
The Bridge Huertas,1041.0,7.4,"Madrid City Center, Madrid"
APARTAMENTO 3 HAB MADRID CENTRO,2289.0,8.7,"Madrid City Center, Madrid"
UMusic Hotel Madrid,2553.0,8.8,"Madrid City Center, Madrid"
Vincci Soho,1907.0,8.7,"Madrid City Center, Madrid"
Luz Madrid Rooms,960.0,8.2,"Madrid City Center, Madrid"
Pestana CR7 Gran Vía Madrid,1909.0,8.4,"Madrid City Center, Madrid"
Modern and bright- 1Bd 1 Bth furnished- Sol in downtown area,1115.0,8.1,"Madrid City Center, Madrid"
Prado Rooms 46 - Darya Living,1314.0,7.9,"Madrid City Center, Madrid"
Arenal Suites Gran Vía,1914.0,9.3,"Madrid City Center, Madrid"
ICON Embassy,2337.0,8.7,"Salamanca, Madrid"
1Bedroom 1bathroom furnished - Rios Rosas - equipped in business area - MintyStay,1021.0,9.5,"Chamberi, Madrid"
Designer Apartment 3,1450.0,9.6,"Chamartín, Madrid"
AC Hotel Carlton Madrid by Marriott,1698.0,8.8,"Arganzuela, Madrid"
Comfy 4 rooms apt in the heart of Chueca (Madrid center),3230.0,8.3,"Madrid City Center, Madrid"
Minty Stay - 3 BD Lavapies,2028.0,7.7,"Madrid City Center, Madrid"
Petit Palace Lealtad Plaza,2021.0,8.4,"Retiro, Madrid"
Madridcito,1095.0,8.9,"Madrid City Center, Madrid"
Melia Madrid Serrano,2594.0,8.7,"Salamanca, Madrid"
Avani Alonso Martinez Madrid hotel -previously NH Alonso Martinez,1332.0,8.6,"Chamberi, Madrid"
LOFTS Puerta del SOL,1365.0,8.2,"Madrid City Center, Madrid"
Suites Viena Plaza de España,1244.0,9.0,"Moncloa-Aravaca, Madrid"
The Westin Madrid Cuzco,1877.0,8.8,"Tetuan, Madrid"
BYPILLOW The Citadel,1288.0,8.4,"Madrid City Center, Madrid"
L&H La Latina Selection,1540.0,8.8,"Madrid City Center, Madrid"
Hostal Milan,1193.0,8.3,"Madrid City Center, Madrid"
Charming Malasaña,1756.0,8.3,"Madrid City Center, Madrid"
Modern and cozy-1Bedroom 1Bathroom-Azca,830.0,7.4,"Tetuan, Madrid"
Suite Estudio en Bravo Murillo,713.0,10.0,"Tetuan, Madrid"
Hostal Castilla II Puerta del Sol,1061.0,8.2,"Madrid City Center, Madrid"
Las Meninas de Cavero,2116.0,9.6,"Hortaleza, Madrid"
Eco Via Lusitana,647.0,8.2,"Carabanchel, Madrid"
Porcel Torre Garden,695.0,8.5,"Ciudad Lineal, Madrid"
Quatro Puerta del Sol,1640.0,8.5,"Madrid City Center, Madrid"
1 bedroom 1 bathroom furnished - Recoletos - modern functional - MintyStay,703.0,7.7,"Salamanca, Madrid"
Modern Bright - 1Bedroom 1 Bathroom - La Latina,1034.0,9.0,"Madrid City Center, Madrid"
Novotel Madrid Center,1496.0,8.6,"Salamanca, Madrid"
Apartamentos Soho Boutique Hoy No Me Puedo Levantar,1431.0,8.5,"Madrid City Center, Madrid"
CH Rayuela,1339.0,8.0,"Madrid City Center, Madrid"
Hostal Dulcinea,960.0,8.9,"Madrid City Center, Madrid"
Acacias Apartments - City Centre,1415.0,8.4,"Arganzuela, Madrid"
Axor Feria,1024.0,8.4,"San Blas, Madrid"
Piso en el centro de Madrid ARANJUEZ,937.0,8.6,"Tetuan, Madrid"
Apartamentos Dali Madrid,766.0,7.2,"Arganzuela, Madrid"
Gran Hotel Inglés - The Leading Hotels of the World,4471.0,9.3,"Madrid City Center, Madrid"
Plaza de España Skyline,1305.0,9.2,"Moncloa-Aravaca, Madrid"
Smartrental Collection Gran Vía Centric,2650.0,8.9,"Madrid City Center, Madrid"
Habitaciones Privadas en mi acogedora Casa - Private rooms,1006.0,9.4,"San Blas, Madrid"
Violeta Suite,965.0,8.9,"Latina, Madrid"
H-A San Mateo Suites,883.0,7.7,"Madrid City Center, Madrid"
Amplio piso a 300m de Retiro,1222.0,8.6,"Retiro, Madrid"
Grupotel Mayorazgo,1734.0,8.8,"Madrid City Center, Madrid"
Alcala 99,859.0,8.0,"Salamanca, Madrid"
Salomé,1122.0,8.9,"Madrid City Center, Madrid"
